eventId,beeKeeperID,siteNo,hiveNo,eventY,eventM,eventD,eventType,inoutType,inoutQuantity,inoutUnit,inoutUnit_desc,clinicalSigns,eventDescription
CM1283,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,6,22,SAMPLE,,,,.,No clinical signs,honey sample for pesticide analysis
CM344,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,8,12,INPUT,Sucrose,14.2,G167A,Kilogram,No clinical signs,
CM1419,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,6,19,SAMPLE,,,,.,No clinical signs,honey sample for pesticide analysis
CM1066,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,3,23,INPUT,Foundation comb,0.5,G167A,Kilogram,No clinical signs,1 frame of foundation added
CM1648,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,4,22,SAMPLE,,,,.,No clinical signs,honey sample for pesticide analysis
CM878,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,5,3,INPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM1749,5BC8557A401F84B44F1BF03B71F3CF7C,1,8,2020,8,13,SAMPLE,,,,.,No clinical signs,honey sample for pesticide analysis
CM575,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,6,6,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1141,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,7,9,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM912,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,8,INPUT,Queen excluder,1,G167A,Kilogram,No clinical signs,
CM1254,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,8,17,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM1498,89D81AA2C010D67185C9217788CBCCF6,6,16,2020,6,5,INPUT,Live bees,1,G133A,Piece,No clinical signs,New queen from queen breeder
CM1374,5BC8557A401F84B44F1BF03B71F3CF7C,2,8,2020,8,17,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM967,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,8,24,INPUT,Thymol,1,G133A,Piece,No clinical signs,
CM1462,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,7,27,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM1134,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,8,24,OUTPUT,No input-output,0.3,G167A,Kilogram,No clinical signs,feeder
CM1624,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,7,27,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM1082,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,9,21,INPUT,Queen excluder,0.4,G167A,Kilogram,No clinical signs,"""Removed bee emptier	"""
CM1694,5BC8557A401F84B44F1BF03B71F3CF7C,1,8,2020,8,13,SAMPLE,,,,.,No clinical signs,pollen from comb for ID
CM1080,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,3,26,INPUT,No input-output,2.3,G167A,Kilogram,No clinical signs,Box for activity videos
CM1366,5BC8557A401F84B44F1BF03B71F3CF7C,2,8,2020,6,23,SAMPLE,,,,.,No clinical signs,pollen sample for pesticide analysis
CM59,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,5,29,OTHER,,,,.,No clinical signs,Queen not found
CM1613,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,4,24,SAMPLE,,,,.,No clinical signs,pollen sample for pesticide analysis
CM583,89D81AA2C010D67185C9217788CBCCF6,6,10,2019,6,6,SAMPLE,,,,.,No clinical signs,Collect beebread and nectar samples
CM1744,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,6,18,SAMPLE,,,,.,No clinical signs,pollen sample for pesticide analysis
CM86,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,6,12,OUTPUT,Brood comb,0.253,G167A,Kilogram,No clinical signs,
CM826,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2019,5,14,SAMPLE,,,,.,No clinical signs,sample for pests
CM631,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,9,13,INPUT,No input-output,4.4,G167A,Kilogram,No clinical signs,Empty box for treatment
CM436,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,8,8,SAMPLE,,,,.,No clinical signs,samples taken 9x9 cm brood for virus
CM635,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,9,13,INPUT,No input-output,4.5,G167A,Kilogram,No clinical signs,Empty box for treatment
CM156,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,8,30,OUTPUT,Brood comb,0.015,G167A,Kilogram,No clinical signs,
CM1509,89D81AA2C010D67185C9217788CBCCF6,6,14,2020,4,26,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM948,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,7,15,OUTPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM1097,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM952,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,7,15,OUTPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM411,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,9,10,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM979,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,8,7,OUTPUT,Honey,10.4,G167A,Kilogram,No clinical signs,
CM1101,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM235,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,9,26,OUTPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Removed ApiInvert food
CM1095,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,5,2,OUTPUT,Foundation comb,0.44,G167A,Kilogram,No clinical signs,1 comb frame
CM970,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,8,24,OUTPUT,Sucrose,2.4,G167A,Kilogram,No clinical signs,Removed super and bucket from food
CM1471,89D81AA2C010D67185C9217788CBCCF6,6,11,2020,10,29,INPUT,Oxalic acid,15,G156A,Millilitre,No clinical signs,Apply Varromed treatment
CM359,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,11,1,OUTPUT,Sucrose,13.4,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM422,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,9,10,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM363,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,11,1,OUTPUT,Sucrose,5.6,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM194,89D81AA2C010D67185C9217788CBCCF6,5,2,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM991,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,8,7,OUTPUT,Food comb,0.5,G167A,Kilogram,No clinical signs,Removed two frames to make room for the feeder
CM1545,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,2,4,OUTPUT,Foundation comb,1.2,G167A,Kilogram,No clinical signs,2 comb frames
CM918,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,6,8,QUEEN LOSS,,,,.,No clinical signs,
CM198,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM900,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,7,29,SAMPLE,,,,.,No clinical signs,
CM507,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,11,8,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM904,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,7,31,SAMPLE,,,,.,No clinical signs,
CM202,89D81AA2C010D67185C9217788CBCCF6,5,7,2019,12,30,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM915,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,6,8,SAMPLE,,,,.,No clinical signs,
CM1543,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,10,8,OUTPUT,No input-output,2.2,G167A,Kilogram,No clinical signs,Remove box for activity recordings
CM943,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,7,13,SAMPLE,,,,.,No clinical signs,
CM208,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM947,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,7,13,SAMPLE,,,,.,No clinical signs,
CM518,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,11,12,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM12,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM212,89D81AA2C010D67185C9217788CBCCF6,5,8,2019,12,30,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM22,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM1440,89D81AA2C010D67185C9217788CBCCF6,6,11,2020,9,18,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM885,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,5,7,SAMPLE,,,,.,No clinical signs,Sample for pesticides
CM439,89D81AA2C010D67185C9217788CBCCF6,5,6,2019,12,30,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM960,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,8,24,SAMPLE,,,,.,No clinical signs,Sample for varroa
CM72,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,4,28,SWARM,,,,.,No clinical signs,Second swarm
CM964,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,8,24,SAMPLE,,,,.,No clinical signs,Sample for varroa
CM189,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,1,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM43,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,5,13,SAMPLE,,,,.,No clinical signs,sample for virus test
CM616,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,10,10,OUTPUT,No input-output,6.5,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM47,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,5,15,SAMPLE,,,,.,No clinical signs,sample for virus test
CM193,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,1,21,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM157,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,8,30,SAMPLE,,,,.,No clinical signs,sample for virus test
CM4,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,3,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads sticking out the cells,
CM170,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,9,25,SAMPLE,,,,.,No clinical signs,sample for virus test
CM326,89D81AA2C010D67185C9217788CBCCF6,5,8,2019,9,13,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM221,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,9,25,SAMPLE,,,,.,No clinical signs,sample for virus test
CM247,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,8,30,OUTPUT,Foundation comb,0.8,G167A,Kilogram,No clinical signs,2 comb frames
CM934,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,7,3,SAMPLE,,,,.,No clinical signs,sample for virus test
CM337,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1233,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,9,30,SAMPLE,,,,.,No clinical signs,"""Sample for virus	"""
CM24,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,3,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM956,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,7,29,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM488,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM998,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,9,3,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM630,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,10,11,OUTPUT,No input-output,4.8,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM928,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,22,SAMPLE,,,,.,No clinical signs,Samples for pesticides + pollen determination
CM492,89D81AA2C010D67185C9217788CBCCF6,6,7,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM9,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM30,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,4,25,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM18,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM496,89D81AA2C010D67185C9217788CBCCF6,5,4,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1152,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,9,3,CLINICAL SIGNS,,,,.,Phoretic varroa,10-15 pcs. in bottom of hive
CM1757,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,8,31,CLINICAL SIGNS,,,,.,Phoretic varroa,app 100 mites in bottom tray - apiguard has worked
CM501,89D81AA2C010D67185C9217788CBCCF6,5,10,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1732,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2020,3,23,CLINICAL SIGNS,,,,.,Dead colony,"""colony dead during winter	"""
CM34,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,4,26,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM691,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2019,7,11,CLINICAL SIGNS,,,,.,Doubtful clinical signs,eggs on the edge of cells
CM512,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM758,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2019,9,9,CLINICAL SIGNS,,,,.,Black shiny honey bees,few
CM1540,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,10,8,OUTPUT,No input-output,2,G167A,Kilogram,No clinical signs,Remove pollen trap
CM285,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,5,29,CLINICAL SIGNS,,,,.,Traces of diarrhea,from earlier
CM521,89D81AA2C010D67185C9217788CBCCF6,6,9,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM842,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2019,8,14,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),just one bee
CM38,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,4,26,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM283,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,5,14,CLINICAL SIGNS,,,,.,Galleries inside the frames,
CM525,89D81AA2C010D67185C9217788CBCCF6,5,10,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM665,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,6,24,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM1118,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,8,12,OUTPUT,Honey,16.2,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM690,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2019,7,11,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM609,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM816,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,4,4,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads sticking out the cells,
CM52,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,5,29,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM1159,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,5,14,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1085,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,4,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1163,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,7,28,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1469,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,9,26,OUTPUT,No input-output,2.2,G167A,Kilogram,No clinical signs,Remove box for activity recordings
CM1174,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,6,3,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1089,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,4,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1195,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,8,17,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM56,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,5,29,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1242,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,6,3,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1479,89D81AA2C010D67185C9217788CBCCF6,6,16,2020,10,29,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1276,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,4,28,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1497,89D81AA2C010D67185C9217788CBCCF6,6,17,2020,9,18,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM1293,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,7,9,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1539,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,10,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1325,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,5,15,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM63,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,5,13,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1344,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,7,28,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1796,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,12,2,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1752,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,6,2,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1477,89D81AA2C010D67185C9217788CBCCF6,6,15,2020,10,29,OUTPUT,Super + 10 frames,7.5,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM1756,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2020,8,13,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1059,89D81AA2C010D67185C9217788CBCCF6,6,11,2020,4,26,INPUT,Super + 10 frames,6.55,G167A,Kilogram,No clinical signs,8 frame honey supper with laminated wax
CM1761,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,6,18,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM76,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,6,11,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1767,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,5,13,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1516,89D81AA2C010D67185C9217788CBCCF6,6,19,2020,4,26,INPUT,Super + 10 frames,6.8,G167A,Kilogram,No clinical signs,8 frame honey supper with laminated wax
CM1771,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,7,27,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1119,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,8,12,OUTPUT,Honey,17.2,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM1776,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,6,2,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1022,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,7,21,INPUT,Super + 10 frames,8,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM1780,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,8,13,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM82,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,8,2019,6,14,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM1785,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,6,18,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1035,89D81AA2C010D67185C9217788CBCCF6,6,15,2020,7,21,INPUT,Super + 10 frames,7,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM536,5BC8557A401F84B44F1BF03B71F3CF7C,2,9,2019,7,29,CLINICAL SIGNS,,,,.,Doubtful clinical signs,not many eggs
CM599,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,9,26,OUTPUT,Super + 10 frames,8.2,G167A,Kilogram,No clinical signs,Remove honey supper with honey left from extraction
CM671,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,7,10,CLINICAL SIGNS,,,,.,Queen problems,queen not seen + no eggs
CM1070,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,3,23,INPUT,Super + 10 frames,7.3,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM684,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2019,6,4,CLINICAL SIGNS,,,,.,Traces of diarrhea,signs of diarrhea
CM89,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,6,12,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM709,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,6,4,CLINICAL SIGNS,,,,.,Traces of diarrhea,signs of diarrhea
CM1526,89D81AA2C010D67185C9217788CBCCF6,6,18,2020,3,19,INPUT,Super + 10 frames,7.68,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM1213,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2020,5,14,CLINICAL SIGNS,,,,.,Honey bees with deformed and-or atrophied wings,"""some bees are very small	"""
CM1537,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,10,21,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM1655,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,6,2,CLINICAL SIGNS,,,,.,Galleries inside the frames,some galleries
CM1068,89D81AA2C010D67185C9217788CBCCF6,5,2,2020,3,23,INPUT,Super + 10 frames,7.3,G167A,Kilogram,No clinical signs,9 frame honey supper with wax comb
CM751,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2019,7,10,CLINICAL SIGNS,,,,.,Spotty brood pattern,to some extent
CM125,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,6,26,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1204,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,9,3,CLINICAL SIGNS,,,,.,Phoretic varroa,varrora 10-15 pcs. in bottom of hive
CM1494,89D81AA2C010D67185C9217788CBCCF6,6,14,2020,7,21,INPUT,Super + 10 frames,8.11,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM1269,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2020,9,3,CLINICAL SIGNS,,,,.,Phoretic varroa,varrora mites 2 pcs. in the tray on the bottom of the hive
CM614,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,9,26,OUTPUT,Super + 10 frames,14,G167A,Kilogram,No clinical signs,Remove honey supper with honey left from extraction
CM295,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2019,8,8,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM67,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,5,2,INPUT,Super + 10 frames,7.5,G167A,Kilogram,No clinical signs,8 frame honey supper with wax comb
CM419,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,7,29,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,apifonda
CM129,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,6,28,CLINICAL SIGNS,,,,.,Slumped larvae,
CM438,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2019,8,8,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM101,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,3,28,INPUT,Super + 10 frames,10,G167A,Kilogram,No clinical signs,Upper nest with laminated wax
CM711,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,6,24,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM588,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,7,9,OUTPUT,Honey,53.9,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM760,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2019,8,9,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM237,89D81AA2C010D67185C9217788CBCCF6,5,1,2019,3,28,INPUT,Super + 10 frames,10,G167A,Kilogram,No clinical signs,Upper nest with laminated wax
CM841,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,2019,7,29,INPUT,Sucrose,1.25,G167A,Kilogram,No clinical signs,apifonda
CM137,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,7,15,CLINICAL SIGNS,,,,.,Slumped larvae,
CM1371,5BC8557A401F84B44F1BF03B71F3CF7C,2,8,2020,7,30,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,apifonda
CM328,89D81AA2C010D67185C9217788CBCCF6,5,7,2019,3,28,INPUT,Super + 10 frames,10,G167A,Kilogram,No clinical signs,Upper nest with laminated wax
